Sun Oct  6 18:05:56 2024    stats/get_all_durations.stats

         1235608 function calls (1226953 primitive calls) in 0.370 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
      852    0.000    0.000    0.000    0.000 scanner.py:690(check_document_start)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
     1816    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      110    0.000    0.000    0.000    0.000 locale.py:479(_parse_localename)
      963    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 parser.py:139(parse_implicit_document_start)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      110    0.000    0.000    0.000    0.000 locale.py:396(normalize)
        3    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       12    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        4    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       12    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        6    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
        1    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 _strptime.py:80(__calc_weekday)
        1    0.000    0.000    0.000    0.000 scanner.py:654(fetch_double)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       92    0.000    0.000    0.000    0.000 _parser.py:252(get)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       50    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       26    0.000    0.000    0.000    0.000 calendar.py:60(__getitem__)
      140    0.000    0.000    0.000    0.000 _parser.py:231(__next)
        8    0.000    0.000    0.000    0.000 __init__.py:315(_subx)
       14    0.000    0.000    0.000    0.000 calendar.py:79(__getitem__)
        1    0.000    0.000    0.000    0.000 _strptime.py:83(<listcomp>)
     23/9    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.000    0.000 _strptime.py:90(<listcomp>)
       11    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        2    0.000    0.000    0.000    0.000 __init__.py:305(_compile_repl)
       82    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
        5    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
       44    0.000    0.000    0.000    0.000 __init__.py:253(escape)
        8    0.000    0.000    0.000    0.000 enum.py:1504(__and__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 _strptime.py:91(<listcomp>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       84    0.000    0.000    0.000    0.000 _parser.py:247(match)
      110    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
       11    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        2    0.000    0.000    0.000    0.000 _parser.py:997(parse_template)
        4    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      157    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      108    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 _strptime.py:84(<listcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      217    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       12    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
      116    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        8    0.000    0.000    0.000    0.000 enum.py:691(__call__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       44    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      6/4    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        4    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        4    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        5    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        6    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 scanner.py:371(fetch_stream_end)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       26    0.000    0.000    0.000    0.000 _parser.py:284(tell)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.000    0.000 parser.py:127(parse_stream_start)
       33    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
      108    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.000    0.000 _strptime.py:152(__calc_timezone)
        5    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
        1    0.000    0.000    0.000    0.000 scanner.py:48(__init__)
        6    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
       25    0.000    0.000    0.000    0.000 _parser.py:170(append)
        3    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      108    0.000    0.000    0.000    0.000 {method 'weekday' of 'datetime.date' objects}
       54    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
